,Date,Open,High,Low,Close,Adj Close,Volume
,42583,235.5,236.630005,229.380005,230.009995,230.009995,4016300
,42584,229.369995,229.869995,221.399994,227.199997,227.199997,3934400
,42585,227.369995,229.699997,224.210007,225.789993,225.789993,3887800
,42586,225.690002,230.860001,222.050003,230.610001,230.610001,4147000
,42587,230,232,227.399994,230.029999,230.029999,3205200
,42588,228,229.600006,226.089996,226.160004,226.160004,2263600
,42589,226.820007,231.539993,226.649994,229.080002,229.080002,2207800
,42590,228.240005,229.869995,224.619995,225.649994,225.649994,2338300
,42591,226.169998,227.570007,223.410004,224.910004,224.910004,1880900
,42592,225.410004,226.649994,224.039993,225.610001,225.610001,1813500
,42593,226.020004,229.5,224.929993,225.589996,225.589996,2034300
,42594,225.490005,227.190002,223.410004,223.610001,223.610001,2267100
,42595,224.330002,224.830002,222.800003,223.240005,223.240005,1787100
,42596,223.820007,225.660004,222.289993,223.509995,223.509995,1714500
,42597,223.539993,225.169998,222.529999,225,225,1659500
,42598,224.169998,225.110001,222.679993,222.929993,222.929993,2065500
,42599,224.320007,228.490005,222.800003,224.839996,224.839996,4784400
,42600,227.050003,227.149994,222.220001,222.619995,222.619995,2570700
,42601,223.110001,223.800003,220.770004,220.960007,220.960007,1762500
,42602,222.139999,222.860001,218.820007,219.990005,219.990005,2239000
,42603,220.149994,220.399994,215,215.199997,215.199997,3266300
,42604,216.110001,216.110001,210.520004,211.339996,211.339996,3168900
,42605,210.429993,212.600006,208.649994,212.009995,212.009995,3276500
,42606,209.009995,211.100006,200.5,200.770004,200.770004,7943100
,42607,202.330002,203.199997,196.199997,197.779999,197.779999,5977400
,42608,199.020004,203.25,199,202.830002,202.830002,4390600
,42609,205.5,206.5,200.710007,201.710007,201.710007,3640900
,42610,199.550003,199.889999,196.360001,197.360001,197.360001,3377900
,42611,199.089996,199.919998,193.699997,194.470001,194.470001,3757000
,42612,195,201.369995,194.100006,198.300003,198.300003,3715200
,42613,197.059998,198.490005,193.449997,196.050003,196.050003,3589400
,42614,195.75,197.919998,194.860001,196.410004,196.410004,2254500
,42615,196.490005,202.520004,196.399994,200.419998,200.419998,3077200
,42616,200.419998,205.699997,199,205.399994,205.399994,3107800
,42617,207,209.429993,205,206.339996,206.339996,2299500
,42618,206.850006,207.75,203.910004,204.639999,204.639999,2410500
,42619,206.369995,207,201.559998,205.220001,205.220001,2633500
,42620,206.399994,207.279999,203,206.429993,206.429993,2382900
,42621,205.990005,210.179993,205.669998,207.449997,207.449997,2905200
,42622,206.5,211,206.5,208.990005,208.990005,2394400
,42623,209.649994,209.979996,204.610001,205.809998,205.809998,3373200
,42624,207.509995,208.25,205.259995,206.270004,206.270004,2088400
,42625,205.600006,207.330002,200.580002,200.699997,200.699997,2727000
,42626,202.210007,204.979996,199.550003,204.029999,204.029999,2586300
,42627,212.300003,215.669998,208.25,213.699997,213.699997,5999900
,42628,213.100006,213.320007,208.820007,211.410004,211.410004,3541500
,42629,212.240005,213.149994,208.119995,208.460007,208.460007,1877500
,42630,202.460007,204.210007,200.210007,201,201,4703400
,42631,201,201.320007,195.800003,196.610001,196.610001,3493000
,42632,201.350006,204.139999,199.660004,200.949997,200.949997,3316300
,42633,201.850006,202.199997,198.309998,200.100006,200.100006,2328400
,42634,200.949997,203.880005,200.419998,201.509995,201.509995,1970700
,42635,200.5,200.899994,197.050003,200.240005,200.240005,2494600
,42636,200.660004,201.429993,196.300003,196.509995,196.509995,4269900
,42637,197.050003,198.389999,192,193.960007,193.960007,4554100
,42638,195.990005,199.470001,193.259995,199.100006,199.100006,5680500
,42639,199.740005,206.660004,198.059998,203.559998,203.559998,6991200
,42640,202.119995,203,197.050003,199.100006,199.100006,5072900
,42641,198.600006,201.570007,197.410004,200.089996,200.089996,2943400
,42642,201,203.949997,200.25,202.759995,202.759995,2751600
,42643,202.899994,204.690002,201.199997,202.339996,202.339996,2445000
,42644,201,203.190002,200.100006,202.240005,202.240005,5632800
,42645,211.339996,213.699997,201.649994,204.009995,204.009995,13093700
,42646,204,205.320007,199.830002,199.970001,199.970001,4280100
,42647,202.490005,202.490005,195.809998,197.729996,197.729996,4692300
,42648,198.039993,198.5,188.110001,190.789993,190.789993,7060000
,42649,190.050003,192.699997,187.509995,188.020004,188.020004,4253400
,42650,189,191.470001,187.039993,187.419998,187.419998,2653000
